	GSM1867414_sample_table.txt	GSM1867415_sample_table.txt	GSM1867416_sample_table.txt	GSM1867417_sample_table.txt	GSM1867418_sample_table.txt	GSM1867419_sample_table.txt	GSM1867420_sample_table.txt	GSM1867421_sample_table.txt	GSM1867422_sample_table.txt	GSM1867423_sample_table.txt	GSM1867424_sample_table.txt	GSM1867425_sample_table.txt	GSM1867426_sample_table.txt	GSM1867427_sample_table.txt	GSM1867428_sample_table.txt	GSM1867429_sample_table.txt
ILMN_1212607	8.36812	8.36196	8.35366	8.34903	8.34109	8.34063	8.32444	8.34297	8.35169	8.34060	8.35202	8.32228	8.37313	8.37831	8.34489	8.33047
ILMN_1212612	9.63021	9.43648	9.65193	9.68973	9.50068	9.54621	9.67729	9.55263	9.53031	9.66689	9.38521	9.59936	9.51689	9.67853	9.57783	9.48994
ILMN_1212619	8.38632	8.34507	8.38764	8.41424	8.35463	8.41449	8.44951	8.40059	8.39593	8.44024	8.37298	8.39402	8.37070	8.38486	8.37841	8.38086
ILMN_1212628	8.33792	8.30008	8.35911	8.33568	8.33045	8.30659	8.31302	8.32315	8.33656	8.30408	8.30449	8.30887	8.32228	8.33326	8.35051	8.31926
ILMN_1212632	8.42454	8.46825	8.45965	8.45980	8.42138	8.43758	8.41925	8.46445	8.44929	8.42191	8.41376	8.42460	8.46597	8.44398	8.48123	8.47451
ILMN_1212636	11.63662	11.75444	11.81118	11.68210	11.68375	11.72258	11.83225	11.72673	11.74565	11.65075	11.74175	11.84487	11.77620	11.84807	11.79722	11.87037
ILMN_1212637	9.64382	9.50025	9.72325	9.54834	9.67800	9.65888	9.64793	9.54026	9.55511	9.60790	9.48291	9.50969	9.53011	9.81712	9.50188	9.57329
ILMN_1212645	8.46508	8.38111	8.37428	8.37498	8.41606	8.39297	8.35930	8.38050	8.39297	8.38778	8.39491	8.41941	8.38683	8.38645	8.40617	8.34337
ILMN_1212648	9.05800	8.93691	8.90977	8.88377	8.92757	8.86332	9.00377	8.92985	8.90214	8.90182	8.86956	8.94418	8.89472	8.88165	8.85894	8.86549
ILMN_1212653	8.53351	8.51601	8.48699	8.50601	8.47399	8.48596	8.53713	8.48638	8.48309	8.47193	8.49890	8.49688	8.47272	8.48068	8.50066	8.52132
ILMN_1212672	8.83392	8.92761	8.85511	8.87055	8.80616	8.88058	8.90604	8.85593	8.98788	8.79571	8.92588	8.84712	8.94824	8.90049	8.84865	8.85021
ILMN_1212682	8.43857	8.41897	8.42657	8.39756	8.43115	8.45330	8.41845	8.44704	8.44899	8.41993	8.48054	8.43901	8.46791	8.40331	8.44673	8.38840
ILMN_1212683	8.32651	8.35290	8.30795	8.34968	8.30804	8.27327	8.30338	8.31889	8.33509	8.30740	8.30928	8.32915	8.32054	8.30881	8.33508	8.30332
ILMN_1212685	8.30814	8.31253	8.34471	8.29249	8.31986	8.34034	8.32545	8.33514	8.31865	8.33851	8.27007	8.30559	8.29950	8.34447	8.30631	8.32883
ILMN_1212692	8.31399	8.30157	8.33661	8.30808	8.31073	8.32008	8.31770	8.32706	8.31851	8.33276	8.33204	8.31748	8.31880	8.32884	8.31588	8.32107
ILMN_1212693	8.38660	8.37742	8.34882	8.39522	8.39477	8.39208	8.35170	8.39831	8.40220	8.36863	8.43044	8.34695	8.36223	8.39544	8.36544	8.37753
ILMN_1212695	8.30820	8.37819	8.31797	8.37943	8.30414	8.35759	8.34319	8.36822	8.34954	8.30654	8.36392	8.35542	8.32802	8.34131	8.34594	8.34023
ILMN_1212698	8.30896	8.33771	8.31499	8.33179	8.31607	8.27452	8.30754	8.31346	8.34204	8.32636	8.32154	8.31369	8.29634	8.32580	8.30858	8.30740
ILMN_1212702	12.89581	12.80140	14.39425	13.29196	13.18216	12.88356	13.12882	12.81782	12.66543	12.48489	13.70323	13.07463	12.27288	12.35870	12.86186	12.42731
ILMN_1212703	8.52679	8.52010	8.52120	8.51593	8.54976	8.54617	8.56150	8.61537	8.52295	8.53756	8.54462	8.57791	8.59574	8.58832	8.59349	8.58107
ILMN_1212716	8.32525	8.32056	8.29261	8.29884	8.31875	8.30350	8.32009	8.28770	8.30293	8.32461	8.30372	8.31658	8.32187	8.30867	8.32417	8.31873
ILMN_1212717	8.38972	8.38796	8.35201	8.39980	8.35422	8.36093	8.38621	8.35449	8.35551	8.38091	8.38346	8.35414	8.36389	8.35978	8.34993	8.35023
ILMN_1212720	9.40416	9.46919	9.43343	9.51654	9.37370	9.51477	9.52828	9.49548	9.50179	9.45814	9.52296	9.40650	9.52377	9.42876	9.51157	9.50922
ILMN_1212724	8.32187	8.32592	8.30705	8.30649	8.29594	8.29114	8.30713	8.35390	8.33654	8.31646	8.31802	8.30973	8.32219	8.28983	8.35646	8.33762
ILMN_1212752	8.34532	8.33412	8.31487	8.33715	8.32320	8.31375	8.31759	8.33460	8.34341	8.38386	8.34764	8.31894	8.33364	8.30408	8.32009	8.33320
ILMN_1212759	8.67717	8.74412	8.75869	8.60364	8.68149	8.73717	8.63155	8.69947	8.69389	8.71032	8.79008	8.72936	8.72346	8.74800	8.69621	8.74348
ILMN_1212762	8.30623	8.33392	8.30338	8.33291	8.29194	8.29805	8.31581	8.31950	8.31413	8.30740	8.30461	8.30584	8.31690	8.32543	8.30639	8.30027
ILMN_1212782	8.32723	8.34807	8.30691	8.34600	8.32501	8.36851	8.32520	8.31823	8.31510	8.30242	8.30556	8.37765	8.32007	8.34926	8.34225	8.34573
ILMN_1212791	8.41506	8.42945	8.48239	8.45560	8.49771	8.44476	8.41543	8.42643	8.41025	8.47629	8.38142	8.50195	8.49632	8.43556	8.42948	8.42210
ILMN_1212794	8.57086	8.55941	8.54741	8.52163	8.55193	8.58790	8.53334	8.52661	8.64915	8.65508	8.61918	8.59668	8.64246	8.56726	8.59746	8.61303
ILMN_1212799	8.28538	8.29924	8.35811	8.31902	8.32140	8.31317	8.30958	8.31618	8.32320	8.31811	8.35128	8.29884	8.32238	8.30174	8.31126	8.34258
ILMN_1212804	8.35115	8.31695	8.33910	8.32799	8.31219	8.34118	8.35172	8.31628	8.32099	8.34835	8.33290	8.32288	8.35082	8.34057	8.34623	8.33076
ILMN_1212812	8.37296	8.38536	8.34207	8.35429	8.33370	8.35999	8.34286	8.32693	8.33077	8.33829	8.34151	8.30631	8.31951	8.31945	8.31906	8.31503
ILMN_1212823	8.41560	8.36719	8.30161	8.35969	8.33758	8.32478	8.34637	8.33524	8.34408	8.32830	8.37440	8.34762	8.35419	8.40148	8.34185	8.31037
ILMN_1212828	8.32200	8.31650	8.30698	8.35429	8.32018	8.31233	8.30551	8.31560	8.31019	8.31557	8.30550	8.31865	8.32497	8.35601	8.33863	8.31622
ILMN_1212835	8.30921	8.35000	8.36588	8.33454	8.34421	8.36117	8.37389	8.36342	8.35694	8.36998	8.39775	8.34145	8.34983	8.34215	8.40244	8.36796
ILMN_1212836	8.32456	8.36213	8.31368	8.32125	8.31397	8.32541	8.29498	8.31590	8.30730	8.31187	8.36417	8.32539	8.30821	8.31717	8.32857	8.29780
ILMN_1212840	8.33845	8.33967	8.33146	8.33987	8.37208	8.36512	8.36459	8.35669	8.34078	8.34635	8.31526	8.33621	8.36629	8.33767	8.35869	8.37271
