Reporter Identifier	VALUE
1	0.312585177
2	1.536422713
3	1.331904758
4	0.664950523
5	0.797861304
6	0.677674204
7	0.497686592
8	0.670980618
9	1.079983693
10	1.148061607
11	0.838270126
12	0.28645985
13	0.510974262
14	1.883715028
15	0.284086555
16	0.551752773
17	0.105453289
18	0.166256039
19	0.948839177
20	0.357313257
21	0.258471958
22	1.806647688
23	1.148767119
24	0.259492938
25	0.804901656
26	0.648984604
27	0.044634236
28	0.637133463
29	3.586197065
30	0.193305091
31	0.854554397
32	0.419101732
33	0.045990401
34	0.0783338
35	0.125429406
36	0.139548377
37	0.424675177
38	0.553020353
39	1.466154195
40	0.649607763
41	0.938556107
42	0.618826255
43	0.317111894
44	0.665888325
45	0.284885543
46	0.162481464
47	0.81574498
48	0.907938812
49	0.453374061
50	1.131074612
51	2.592658595
52	0.393637447
53	3.427876227
54	0.179626688
55	2.08656346
56	0.327852749
57	1.622520869
58	2.613412186
59	0.517299981
60	0.187719677
61	0.502313881
62	0.827299385
63	0.30128878
64	0.292169737
65	0.761383868
66	0.356681257
67	1.576378306
68	1.28267921
69	0.357741144
70	2.074147106
71	2.62146587
72	1.508181348
73	0.328047131
74	0.641170043
75	1.410421251
76	0.186440226
77	0.720153268
78	0.674970417
79	0.309956269
80	0.317913457
81	0.204713354
82	2.071932088
83	0.131866093
84	1.335531038
85	1.143742065
86	1.460974742
87	0.585415718
88	0.828718471
89	0.352408732
90	0.435382778
91	1.992543921
92	1.188059391
93	0.148524432
94	0.547919397
95	0.185358446
96	0.318899687
97	0.530437623
98	1.655286401
99	0.389851542
100	0.784939366
101	0.431029209
102	0.329961647
103	0.271187879
104	0.756185514
105	0.321837053
106	0.51291624
107	0.571506802
108	0.669764482
109	1.155947303
110	1.697668005
111	0.191336375
112	0.694366943
113	0.158721327
114	0.189562006
115	4.937514499
116	1.076683168
117	0.881933577
118	0.419150063
119	1.462073228
120	0.878989954
121	2.078146913
122	0.221996009
123	0.304828723
124	0.30622984
125	3.642604148
126	0.486081213
127	1.12706889
128	0.223067194
129	1.660772995
130	0.271101941
131	0.166197797
132	0.130549505
133	0.460521651
134	3.900009953
